Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category,
Corporate Real Estate Management,Environmental,Var Locs-Emergency Environmental Remediation & Aba, -   , -   , -   , 335.00 , 335.00 , -   , -   , -   , -   , -   , 670.00 ,CW,City Wide,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,  55 John Street -Standpipe Pump VAV Transformers, -   , -   , 127.00 , 789.00 ," 3,513.00 ", -   , -   , -   , -   , -   ," 4,429.00 ",10,Spadina-Fort York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 1288 Queen W -Domestic Hot Water Heater, -   , -   , -   , 10.00 , 46.00 , -   , -   , -   , -   , -   , 56.00 ,4,Parkdale-High Park,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 1401 CASTLEFIELD AVE -Rplc of Gas Fired Infrared , -   , -   , -   , 9.00 , 83.00 , -   , -   , -   , -   , -   , 92.00 ,8,Eglinton-Lawrence,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 1401 CASTLEFIELD AVE-Rplc  of Exhaust Fans EF-3 a, -   , -   , -   , 6.00 , 32.00 , -   , -   , -   , -   , -   , 38.00 ,8,Eglinton-Lawrence,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical," 2340 Birchmount Rd-Replace Interior, exterior Lig", -   , -   , -   , 29.00 , 266.00 , -   , -   , -   , -   , -   , 295.00 ,22,Scarborough-Agincourt,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 313 PHARMACY AVE-Replace Existing Front Office & , -   , 14.00 , 157.00 , -   , -   , -   , -   , -   , -   , -   , 171.00 ,20,Scarborough Southwest,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 320 BERING AVE-Replacement of electrical distribu, -   , -   , -   , 20.00 , 215.00 , -   , -   , -   , -   , -   , 235.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 433 Eastern Ave-Replacement of Building Make-up U, -   , -   , -   , 11.00 , 118.00 , -   , -   , -   , -   , -   , 129.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 433 Eastern Ave-Rplc of the Hot Water Heating Boi, -   , -   , -   , 6.00 , 52.00 , -   , -   , -   , -   , -   , 58.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 524 OAKWOOD AVE -Replace Fire Alarm System, -   , -   , -   , -   , 13.00 , 125.00 , -   , -   , -   , -   , 138.00 ,12,Toronto-St. Pauls,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 61 Toryork- Carbon Monoxide Detection, -   , -   , -   , 11.00 , 101.00 , -   , -   , -   , -   , -   , 112.00 ,7,Humber River-Black Creek,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical, 765 Queen St-Replace rooftop HVAC unit #1, -   , -   , 10.00 , 88.00 , -   , -   , -   , -   , -   , -   , 98.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical," 95 Lavinia Ave-Replace A/C  # 4, 8 and AC unit", -   , -   , -   , 8.00 , 93.00 , -   , -   , -   , -   , -   , 101.00 ,4,Parkdale-High Park,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,10 William Carson-Rpl Furnaces, -   , -   , -   , -   , 4.00 , 51.00 , -   , -   , -   , -   , 55.00 ,15,Don Valley West,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,100 Galloway Road - Various Projects, -   , -   , 12.00 , 139.00 , -   , -   , -   , -   , -   , -   , 151.00 ,24,Scarborough-Guildwood,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,100 Queen W-Installation of Aut. Fire Sprinkle Sys, -   , -   , -   , -   , 500.00 ," 2,000.00 "," 2,000.00 "," 2,000.00 "," 2,000.00 ", -   ," 8,500.00 ",10,Spadina-Fort York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,100 Queen-Wet Sprnklr Control Valves, -   , -   , -   , -   , -   , -   , -   , -   , -   , 294.00 , 294.00 ,10,Spadina-Fort York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,100 Turnberry - Various SOGR Project, -   , -   , -   , 25.00 , 194.00 , -   , -   , -   , -   , -   , 219.00 ,9,Davenport,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,105 Cedarvale - Retrofit Existing Lighting System, -   , -   , -   , -   , -   , -   , -   , -   , 7.00 , 45.00 , 52.00 ,19,Beaches-East York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,1076 Pape Ave - Various Projects, -   , 21.00 , 243.00 , -   , -   , -   , -   , -   , -   , -   , 264.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,111 KING ST E-Replace Existing Rooftop HVAC Units , -   , -   , -   , 14.00 , 153.00 , -   , -   , -   , -   , -   , 167.00 ,13,Toronto Centre,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,115 Parkway Forest -Various Projects, -   , -   , -   , -   , -   , -   , -   , -   , -   , 121.00 , 121.00 ,17,Don Valley North,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,1300 Sheppard Ave. W - Replacement of Power Distri, -   , -   , 6.00 , 67.00 , -   , -   , -   , -   , -   , -   , 73.00 ,6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,132 Bellevue Ave-Replace Unit Heater, -   , -   , -   , -   , -   , -   , -   , -   , -   , 85.00 , 85.00 ,11,University-Rosedale,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,135 Davenport Rd - Various Projects, -   , -   , -   , -   , -   , -   , -   , -   , -   , 27.00 , 27.00 ,11,University-Rosedale,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,1401 Castlefield Ave-Lighting System including Exi, -   , -   , -   , 18.00 , 233.00 , -   , -   , -   , -   , -   , 251.00 ,8,Eglinton-Lawrence,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,1401 Castlefield Ave-Replac. of the Domestic H W, -   , -   , -   , 6.00 , 16.00 , -   , -   , -   , -   , -   , 22.00 ,8,Eglinton-Lawrence,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,1401 CASTLEFIELD AVE-Rplc of the Heating Unit in t, -   , -   , -   , 6.00 , 38.00 , -   , -   , -   , -   , -   , 44.00 ,8,Eglinton-Lawrence,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,150 Borough - Replacement of distribution panels a, -   , -   , 17.00 , 185.00 , -   , -   , -   , -   , -   , -   , 202.00 ,21,Scarborough Centre,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,"150 BoroughDr-Repl.circulation pumps,fire pumps", -   , -   , -   , -   , 28.00 , 386.00 , -   , -   , -   , -   , 414.00 ,21,Scarborough Centre,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,150 Disco - Replace rooftop A/C units, -   , -   , -   , -   , -   , -   , -   , -   , 8.00 , 77.00 , 85.00 ,1,Etobicoke North,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,150 Disco-Electrical Distribution Upgrades, -   , -   , -   , -   , -   , -   , -   , -   , 31.00 , 186.00 , 217.00 ,1,Etobicoke North,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,157 King St E - Repl of Exhaust Fans, -   , -   , 5.00 , 52.00 , -   , -   , -   , -   , -   , -   , 57.00 ,13,Toronto Centre,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,175 Memorial Park Ave - Various Projects, -   , -   , 14.00 , 154.00 , -   , -   , -   , -   , -   , -   , 168.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,18 Dyas-Replacement of Fire Alarm System, -   , -   , -   , -   , -   , -   , -   , -   , -   , 287.00 , 287.00 ,18,Willowdale,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,"20 Beffort-Boilers, Sump pump, rooftop exhaust fan", -   , -   , -   , -   , -   , -   , -   , -   , -   , 67.00 , 67.00 ,6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,20 Beffort-Upgrade Office Area Power, -   , -   , -   , -   , -   , -   , -   , -   , -   , 20.00 , 20.00 ,6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,2050 JANE-Rpl Central UPS System, -   , -   , -   , -   , -   , -   , -   , -   , -   , 198.00 , 198.00 ,5,York South-Weston ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,2075 BAYVIEW AVE-CO Detection, -   , -   , -   , -   , -   , -   , -   , -   , -   , 82.00 , 82.00 ,15,Don Valley West,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,235 CIBOLA AVE - Garage Unit Heater, -   , -   , -   , 9.00 , 29.00 , -   , -   , -   , -   , -   , 38.00 ,10,Spadina-Fort York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,255 Spadina-Hot Water Heater, -   , 5.00 , 37.00 , -   , -   , -   , -   , -   , -   , -   , 42.00 ,12,Toronto-St. Pauls,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,2700 Eglinton Ave W-Replace rooftop VAV unit AHU-2, -   , -   , -   , 33.00 , 320.00 , -   , -   , -   , -   , -   , 353.00 ,5,York South-Weston ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,"2733 Brimley Rd-Replace Interior, Exterior Lightin", -   , -   , 13.00 , 181.00 , -   , -   , -   , -   , -   , -   , 194.00 ,23,Scarborough-North,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,3 Dohme Ave - Various Projects, -   , 13.00 , 122.00 , -   , -   , -   , -   , -   , -   , -   , 135.00 ,19,Beaches-East York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,3 Dohme Ave-Rpl Rooftop HVAC Sys, -   , -   , -   , -   , -   , -   , -   , -   , 9.00 , 107.00 , 116.00 ,19,Beaches-East York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,30 Northline Rd Replacement of Rooftop HVAC Units , -   , -   , -   , 9.00 , 111.00 , -   , -   , -   , -   , -   , 120.00 ,19,Beaches-East York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,"30 Northline Rd-Lighting System, Exit signs & Emer", -   , -   , -   , 12.00 , 115.00 , -   , -   , -   , -   , -   , 127.00 ,19,Beaches-East York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,30 Northline Rd-Replacement of the Domestic Hot Wa, -   , -   , -   , 5.00 , 64.00 , -   , -   , -   , -   , -   , 69.00 ,19,Beaches-East York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,30 NORTHLINE RD-Replc of Rooftop HVAC Unit # 1, -   , -   , -   , 6.00 , 6.00 , -   , -   , -   , -   , -   , 12.00 ,19,Beaches-East York,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,3100 EGLINTON AVE E - Various Projects, -   , -   , -   , 5.00 , 33.00 , -   , -   , -   , -   , -   , 38.00 ,24,Scarborough-Guildwood,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,313 Pharmacy Ave-Replace Existing Activity Room Ro, -   , 13.00 , 142.00 , -   , -   , -   , -   , -   , -   , -   , 155.00 ,20,Scarborough Southwest,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,320 BERING AVE -Rplc of existing electrical panels, -   , -   , -   , 9.00 , 29.00 , -   , -   , -   , -   , -   , 38.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,320 Bering Ave- Rplc.Domestic Hot Water Heater, -   , -   , -   , 6.00 , 16.00 , -   , -   , -   , -   , -   , 22.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,320 BERING AVE-Air Make-up Units # 1 and 2, -   , -   , -   , 14.00 , 166.00 , -   , -   , -   , -   , -   , 180.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,320 Bering Ave-Replc of Air Compressor in Parking/, -   , -   , -   , 5.00 , 57.00 , -   , -   , -   , -   , -   , 62.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,320 Bering Ave-Replc of the Distribution switchboa, -   , -   , -   , 17.00 , 181.00 , -   , -   , -   , -   , -   , 198.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,320 Bering Ave-Rplc of South Office HVAC Unit # 2, -   , -   , -   , 5.00 , 61.00 , -   , -   , -   , -   , -   , 66.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,320 BERING AVE-Rplc of the Unit Heaters, -   , -   , -   , 11.00 , 69.00 , -   , -   , -   , -   , -   , 80.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,320 BERING-Lighting Sys. signs & emerg.battery, -   , -   , 13.00 , 137.00 , -   , -   , -   , -   , -   , -   , 150.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,330 BERING AVE-Rep.Rooftop HVAC Units, -   , -   , -   , 9.00 , 77.00 , -   , -   , -   , -   , -   , 86.00 ,3,Etobicoke-Lakeshore,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,"40 Coronation Dr-Asphalt Repairs & Painted Lines, ", -   , 28.00 , 158.00 , -   , -   , -   , -   , -   , -   , -   , 186.00 ,24,Scarborough-Guildwood,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,"433 Eastern Ave -Replc. of Fan Coil Unit, Compress", -   , -   , -   , 11.00 , 124.00 , -   , -   , -   , -   , -   , 135.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave -Rplc of Sprinkler System Alarm Ch, -   , -   , -   , 10.00 , 94.00 , -   , -   , -   , -   , -   , 104.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,433 EASTERN AVE-Distribution and Lighting Panels, -   , -   , -   , 22.00 , 183.00 , -   , -   , -   , -   , -   , 205.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Replac. of the disconnect switches, -   , -   , -   , 10.00 , 51.00 , -   , -   , -   , -   , -   , 61.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Replac. of the Domestic Hot Water , -   , -   , -   , 6.00 , 34.00 , -   , -   , -   , -   , -   , 40.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Rplc of Paint Booth Exhaust , -   , -   , -   , 6.00 , 26.00 , -   , -   , -   , -   , -   , 32.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Rplc of the Distribution Panels an, -   , -   , -   , 24.00 , 259.00 , -   , -   , -   , -   , -   , 283.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Rplc of the Domestic Hot Water Hea, -   , -   , -   , 6.00 , 28.00 , -   , -   , -   , -   , -   , 34.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,4330 DUFFERIN ST - Repl of Switchboards &  MCCs, -   , -   , 5.00 , 124.00 , 349.00 ," 1,000.00 ", -   , -   , -   , -   ," 1,478.00 ",6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects, -   , -   , -   , 206.00 ," 2,435.00 "," 1,409.00 ", -   , -   , -   , -   ," 4,050.00 ",6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects - Electrical 1, -   , -   , -   , 44.00 , 630.00 , -   , -   , -   , -   , -   , 674.00 ,6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects - Mechanical 1, -   , -   , -   , 5.00 , 60.00 , 237.00 , -   , -   , -   , -   , 302.00 ,6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St -Various Projects - Mech.1, -   , -   , 153.00 , 105.00 ," 1,000.00 ", -   , -   , -   , -   , -   ," 1,258.00 ",6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin Str - Various Projects - Mech.2, -   , -   , -   , 196.00 ," 1,433.00 ", -   , -   , -   , -   , -   ," 1,629.00 ",6,York Centre ,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,44 BEECHWOOD DR-Replace existing power distributio, -   , -   , -   , -   , 13.00 , 142.00 , -   , -   , -   , -   , 155.00 ,14,Toronto-Danforth,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,"4560 SHEPPARD AVE E-Replace Fire Alarm, Install Co", -   , 16.00 , 169.00 , -   , -   , -   , -   , -   , -   , -   , 185.00 ,23,Scarborough-North,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,462 Runnymed Rd-DHW Heater and Interior Fire  , -   , 18.00 , 182.00 , -   , -   , -   , -   , -   , -   , -   , 200.00 ,4,Parkdale-High Park,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,"5100 Yonge - Storm & Sanitary Piping, Valves", -   , -   , -   , -   , -   , -   , -   , 30.00 , 238.00 , -   , 268.00 ,18,Willowdale,State of Good Repair ,
Corporate Real Estate Management,Mechanical and Electrical,5100 Yonge -Mech SOGR Projects, -   , -   , 5.00 , 36.00 , -   , -   , -   , -   , -   , -   , 41.00 ,18,Willowdale,State of Good Repair ,
